Compound,Date,Negative,Neutral,Positive,Text,TimeDiff,Tweets Ago,User
0.0,Tue Oct 02 22:37:23 +0000 2018,0.0,1.0,0.0,"RT @FashionforGood: Thought-provoking article about how clothing rental could break the trend of #fastfashion 
Lucy Hooker via @BBC https:/…",0,0,@BBC
0.0772,Tue Oct 02 22:37:22 +0000 2018,0.093,0.802,0.105,@RobBurl @DavidPhillips46 @BBC @JasonJHunter Bet he's not on BBCQT 32 times like Nigel Farage or no end of other 'B… https://t.co/If9phGxBO7,0,1,@BBC
0.8679,Tue Oct 02 22:36:40 +0000 2018,0.0,0.612,0.388,@higeorgeshelley thank you for being brave and daring to talk so openly about your greive. It's so important to wor… https://t.co/jaqWRxvfOt,0,2,@BBC
-0.0276,Tue Oct 02 22:36:14 +0000 2018,0.228,0.549,0.223,Very impressive doc w @higeorgeshelley talking abt the profound grief of losing a sibling. Well done George - you b… https://t.co/tBD8jUmCkK,0,3,@BBC
0.0,Tue Oct 02 22:36:09 +0000 2018,0.0,1.0,0.0,RT @TheSikhNet: When is the @BBC picking up this story? @BBCPolitics @BBCWorld @BBCRadio4 https://t.co/u5AYTA4m2V,0,4,@BBC
-0.0258,Tue Oct 02 22:34:25 +0000 2018,0.103,0.798,0.099,UK: The @BBC reports PM Theresa May has committed to high-skilled workers being prioritised post-Brexit with no pre… https://t.co/ckKNuCPw6W,0,5,@BBC
0.0,Tue Oct 02 22:34:13 +0000 2018,0.0,1.0,0.0,"RT @exmaglux: @MichaelLCrick @trevdick ""has become"" ??  ..FGS man where have you been these last few years, in some Westminster bubble ..we…",0,6,@BBC
0.0,Tue Oct 02 22:34:07 +0000 2018,0.0,1.0,0.0,@bungarsargon @BBC https://t.co/AlBB9w4msa,0,7,@BBC
0.296,Tue Oct 02 22:32:44 +0000 2018,0.0,0.896,0.104,It already has &amp; millions of @bbc  viewers have switched off. Just another national treasure wrecked by this ghastl… https://t.co/nqGNnda9K6,0,8,@BBC
-0.3612,Tue Oct 02 22:31:52 +0000 2018,0.161,0.839,0.0,@thehill @JeffFlake @MittRomney @LDSChurchNews @LDSchurch @LDSMessages @DNC @Pontifex @SGUtahGolf @flake Sucks to b… https://t.co/IMlPAPYSHr,0,9,@BBC
